event_name,event_type,begin_date,end_date,cpi_cost,unad_cost,deaths
Southern Severe Storms and Flooding,Flooding,1980-04-10,1980-04-17,2742.3,706.8,7
Hurricane Allen,Tropical Cyclone,1980-08-07,1980-08-11,2224.4,590.0,13
Central/Eastern Drought/Heat Wave,Drought,1980-06-01,1980-11-30,40480.8,10020.0,1260
Florida Freeze,Freeze,1981-01-12,1981-01-14,2064.9,572.0,0
"Severe Storms, Flash Floods, Hail, Tornadoes",Severe Storm,1981-05-05,1981-05-10,1405.2,401.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave",Winter Storm,1982-01-08,1982-01-16,2204.6,662.0,85
Midwest/Plains/Southeast Tornadoes,Severe Storm,1982-04-02,1982-04-04,1599.5,483.2,33
Severe Storms,Severe Storm,1982-05-31,1982-06-10,1574.2,479.9,30
Gulf States Storms and Flooding,Flooding,1982-12-01,1983-01-15,4915.4,1536.1,45
Western Storms and Flooding,Flooding,1982-12-13,1983-03-31,4798.7,1499.6,50
Hurricane Alicia,Tropical Cyclone,1983-08-17,1983-08-20,9390.0,3000.0,21
Southeast Drought,Drought,1983-06-01,1983-08-31,9514.6,2964.1,0
Arizona Flooding,Flooding,1983-09-29,1983-10-03,1248.0,400.0,14
Freeze/Cold Wave,Freeze,1983-12-15,1983-12-25,6438.3,2005.8,151
"Tornadoes, Severe Storms, Floods",Severe Storm,1984-03-27,1984-04-07,1845.3,603.1,80
Severe Storms and Hail,Severe Storm,1984-06-13,1984-06-17,1352.0,446.2,1
"Winter Storm, Cold Wave",Winter Storm,1985-01-19,1985-01-22,2493.7,836.9,150
Florida Freeze,Freeze,1985-01-20,1985-01-22,3576.0,1200.0,0
Ohio and Pennsylvania Tornado Outbreak,Severe Storm,1985-05-31,1985-05-31,1752.0,600.0,89
Hurricane Elena,Tropical Cyclone,1985-08-30,1985-09-03,3775.4,1297.4,4
Hurricane Gloria,Tropical Cyclone,1985-09-26,1985-09-28,2482.9,856.1,11
Hurricane Juan,Tropical Cyclone,1985-10-27,1985-10-31,4325.5,1496.7,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding",Flooding,1985-11-03,1985-11-08,4032.0,1400.0,62
Western Severe Storms and Flooding,Severe Storm,1986-02-14,1986-02-16,1520.6,529.8,13
Southeast Drought/Heat Wave,Drought,1986-06-01,1986-08-31,5176.4,1803.6,100
Michigan Flooding,Flooding,1986-09-10,1986-09-12,1140.0,400.0,10
U.S. Drought/Heat Wave,Drought,1988-06-01,1988-08-31,54210.6,20003.8,454
Southern Derecho and Severe Storms,Severe Storm,1989-05-01,1989-05-06,1401.0,551.5,21
Tropical Storm Allison,Tropical Cyclone,1989-06-26,1989-06-28,1480.1,585.0,11
Hurricane Hugo,Tropical Cyclone,1989-09-21,1989-09-22,22589.7,8999.9,86
Northern Plains Drought,Drought,1989-06-01,1989-11-30,7778.2,3003.2,0
Florida Freeze,Freeze,1989-12-23,1989-12-25,5180.0,2000.0,10
"Winter Storm, Cold Wave",Winter Storm,1989-12-21,1989-12-26,1693.8,680.0,100
Southern Flooding,Flooding,1990-05-11,1990-05-19,2446.7,1006.9,13
Colorado Hail Storm,Severe Storm,1990-07-11,1990-07-11,1976.3,820.1,0
Western Fire Season,Wildfire,1990-06-01,1990-08-31,1709.0,715.0,17
California Freeze,Freeze,1990-12-18,1990-12-25,8398.0,3400.0,0
"Severe Storms, Tornadoes",Severe Storm,1991-03-26,1991-03-29,1503.1,645.0,0
Hurricane Bob,Tropical Cyclone,1991-08-18,1991-08-20,3456.7,1502.9,18
U.S. Drought,Drought,1991-03-01,1991-08-31,7009.9,3008.5,0
Oakland Firestorm,Wildfire,1991-10-01,1991-10-31,7557.0,3300.0,25
Severe Storms,Severe Storm,1992-03-24,1992-03-25,1809.7,804.3,0
"Hail, Tornadoes",Severe Storm,1992-04-28,1992-04-29,2147.4,954.4,0
"Severe Storms, Hail",Severe Storm,1992-06-19,1992-06-20,1675.5,748.0,0
Hurricane Andrew,Tropical Cyclone,1992-08-23,1992-08-27,60210.0,27000.0,61
Hurricane Iniki,Tropical Cyclone,1992-09-11,1992-09-12,6882.0,3100.0,7
Southeast Severe Weather,Severe Storm,1992-11-21,1992-11-23,1452.0,657.0,26
Northeast Winter Storm,Winter Storm,1992-12-10,1992-12-13,5487.4,2483.0,19
East Coast Blizzard and Severe Weather,Winter Storm,1993-03-11,1993-03-14,12104.1,5527.0,270
Northern Plains and Ohio Valley Severe Weather,Severe Storm,1993-07-08,1993-07-10,1397.5,644.0,1
Midwest Flooding,Flooding,1993-06-27,1993-08-15,46113.9,20960.9,48
Southeast Drought and Heat Wave,Drought,1993-06-01,1993-08-31,2767.6,1258.0,16
California Wildfires,Wildfire,1993-09-01,1993-11-30,2962.4,1371.5,4
"Winter Storm, Cold Wave",Winter Storm,1994-01-17,1994-01-20,2236.3,1040.0,70
Southeast Ice Storm,Winter Storm,1994-02-08,1994-02-13,6414.5,2997.5,9
Midwest/Plains Tornadoes,Severe Storm,1994-04-25,1994-04-27,2098.3,985.1,3
Tropical Storm Alberto,Tropical Cyclone,1994-07-07,1994-07-10,2116.8,998.5,32
Texas Flooding,Flooding,1994-10-16,1994-10-25,2100.0,1000.0,19
Western Fire Season,Wildfire,1994-06-01,1994-11-30,1537.0,725.0,0
California Flooding,Flooding,1995-01-01,1995-03-31,5225.0,2500.0,27
Texas Hail Storm,Severe Storm,1995-04-28,1995-04-28,1190.3,575.0,0
South Plains Severe Weather,Severe Storm,1995-05-05,1995-05-07,11302.1,5486.5,32
Hurricane Erin,Tropical Cyclone,1995-08-01,1995-08-07,1742.5,850.0,6
Hurricane Marilyn,Tropical Cyclone,1995-09-15,1995-09-17,4305.0,2100.0,13
"Central, Southern and Northeast Drought/Heat Wave",Drought,1995-07-01,1995-09-30,2017.6,984.0,872
